,samedi,Dr. Maatoug,Dr. Maatoug,Dr. Maatoug,Dr. Maatoug,Dr. Maatoug,Dr. Mariat,Dr. Mariat,Dr. Mariat,Dr. Mariat,Dr. Mariat,Dr. Cuche,Dr. Cuche,Dr. Cuche,Dr. Cuche,Dr. Cuche,Dr. Vaudelin,Dr. Vaudelin,Dr. Vaudelin,Dr. Vaudelin,Dr. Vaudelin,Dr. Caillierez,Dr. Caillierez,Dr. Caillierez,Dr. Caillierez,Dr. Caillierez,Dr Rousson,Dr Rousson,Dr Rousson,Dr Rousson,Dr Rousson,Dr Aupetit,Dr Aupetit,Dr Aupetit,Dr Aupetit,Dr Aupetit,Dr Reymond,Dr Reymond,Dr Reymond,Dr Reymond,Dr Reymond,Dr Favre Felix,Dr Favre Felix,Dr Favre Felix,Dr Favre Felix,Dr Favre Felix,@
samedi,04/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimanche,05/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,06/01/2025,Dr. Augoyard,,,,,,,,,,,,,,,Dr. Augoyard,Dr. Meusnier,,,,Dr. Durand,Dr. Duquesne,Dr. Bordier,Dr. Bordier,,,,,,,,,,,,Dr. Afathi,Dr. Tetard,Dr. Ninou,Dr. Ninou,Dr. Guillaud,Dr. Afathi,Dr. Tetard,Dr. Ninou,Dr. Ninou,Dr. Guillaud,
mardi,07/01/2025,,,,,,Dr. Mestrallet,Dr. Barbier,Dr. Houssami,,,,,,,,Dr. Bissuel,Dr. D'Ingrado,Dr. Delaval,Dr. Delaval,,,,,,,Dr. Afathi,Dr. Vasseneix,Dr. Authom,Dr. Authom,Dr. El Alami,,,,,,,,,,,,,,,,
mercredi,08/01/2025,Dr. Durand,Dr. Duquesne,Dr. Gineys,Dr. André,Dr. André,,,,,,Dr. Valentin,Dr. Vallese,Dr. Gauthier,Dr. Gauthier,Dr. Delaval,Dr. Augoyard,Dr. Rochepeau,Dr. Fortoul,Dr. Fortoul,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeudi,09/01/2025,Dr. Laurendon,Dr. Tracogna,Dr. Fortoul,,,,,,,,,,,,,,,,,,,,,,,Dr. Afathi,Dr. Nove Josserand,,,,,,,,,Dr. Bissuel,Dr. Badet,Dr.Barba,Dr.Barba,,Dr. Bissuel,Dr. Badet,Dr.Barba,Dr.Barba,,
vendredi,10/01/2025,,,,,,Dr. Augoyard,Dr. Leturc,,,,,,,,,,,,,,Dr. Milon,Dr. Tracogna,Dr. Bouthenet,Dr. Bouthenet,,,,,,,,,,,,Dr. Devillier,Dr. Meusnier,Dr. Picot,Dr. Picot,,Dr. Devillier,Dr. Meusnier,Dr. Picot,Dr. Picot,,
samedi,11/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimanche,12/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lundi,13/01/2025,Dr. Durand,Dr. Duquesne,Dr. Marthelot,,,Dr. Bissuel,Dr. Meusnier,,,,Dr. Favreul,Dr. Valentin,Dr. El Alami,Dr. El Alami,Dr. Sigaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
